Prop,Area (ha),Emprego (homem-hora-ano),Uso_Maquina (horas-ano),Renda ($-ano)
Prop_1,32.41,1005,151.4,39955
Prop_2,34.00,41571,1645,481536
Prop_3,39.60,23130,1775,192920
Prop_4,6.09,16380,720,125000
Prop_5,7.28,219,36.5,21028
Prop_6,11.80,66,55,1700
Prop_7,7.30,219,36.5,13728
Prop_8,6.00,12,20,1340
Prop_9,41.00,30000,3236,15000
Prop_10,5.30,312,12,3370
Prop_11,8.00,750,56,15120
Prop_12,16.70,2772,72,51360
Prop_13,5.40,300,0,9600
Prop_14,14.50,42,84,2920
Prop_15,31.40,1800,150,63200
Prop_16,19.50,2040,54,319050
Prop_17,15.90,15600,752,112000
Prop_18,19.40,11400,152,9000
Prop_19,72.00,23640,5316,892000
Prop_20,14.60,9000,120,7500
Prop_21,3.80,9000,225,224000
Prop_22,26.30,10458,1788,805070
Prop_23,24.50,5700,1230,94000
Prop_24,18.30,4350,276,142621
Prop_25,27.60,4470,330,179500
Prop_26,15.30,4692,1100,139700
Prop_27,29.80,840,280,112000
Prop_28,12.20,25500,1820,390000
Prop_29,10.00,1200,800,76000
Prop_30,9.20,5526,170,34696
Prop_31,20.30,2736,190,84923
Prop_32,20.70,15612,744,37217
Prop_33,16.00,8400,360,16000
Prop_34,25.60,16830,900,3000
Prop_35,8.20,4500,1098,105000
Prop_36,32.80,76.55,553.5,21097
Prop_37,17.10,9030,1100,19500
Prop_38,28.70,23400,1122,32512
Prop_39,3.80,3600,900,1200000
Prop_40,8.30,16200,2025,250000
Prop_41,30.10,4872,645,88000
Prop_42,35.00,1401,205,72250
Prop_43,30.00,14400,72,40080
Prop_44,9.80,1848,186,13200
Prop_45,34.00,12960,900,465000
Prop_46,25.70,19320,725,303700
Prop_47,24.00,402,80,22000
Prop_48,25.00,480,54,1825
Prop_49,15.00,1263,113.6,14588
Prop_50,19.80,693,82.5,35360
Prop_51,5.80,918,9,63875
Prop_52,2.47,300,0,66000
Prop_53,16.90,1500,90,4016
Prop_54,10.20,600,0,576
Prop_55,30.00,300,0,2880
Prop_56,33.00,5886,832,59000
Prop_57,21.20,1335,99.5,75850
Prop_58,24.00,12780,1148,129400
Prop_59,1.46,2400,0,52000
Prop_60,1.98,1500,0,27000
Prop_61,22.50,6540,204,65998
Prop_62,27.00,4830,546,32633
Prop_63,9.50,13200,200,108000
Prop_64,2.30,9000,0,120000
Prop_65,32.70,6540,292,40700
Prop_66,4.30,3000,100,18000
Prop_67,16.80,11475,435,31000
Prop_68,7.30,1350,50,16000
Prop_69,13.00,1710,42,22000
Prop_70,10.30,3240,0,15000
Prop_71,3.60,3600,150,6000
